0 0 0 
-0.0101491 -0.00800484 0.703434 
-0.0238222 -0.0121432 1.41548 
-0.036687 -0.0188406 2.1494 
-0.0697728 -0.0427317 2.89031 
-0.0849816 -0.0611989 3.65634 
-0.104154 -0.0776363 4.44051 
-0.146332 -0.0904702 5.22029 
-0.18594 -0.101849 6.01673 
-0.222929 -0.103856 6.83003 
-0.273509 -0.123869 7.64981 
-0.334508 -0.0954074 8.4917 
-0.372116 -0.104684 9.33243 
-0.428824 -0.116024 10.1734 
-0.493572 -0.12585 11.0452 
-0.547361 -0.141195 11.8964 
-0.622686 -0.153035 12.782 
-0.719846 -0.158125 13.7166 
-0.791956 -0.175068 14.6242 
-0.867697 -0.184457 15.5478 
-0.946965 -0.192325 16.4703 
-1.01971 -0.21851 17.4005 
-0.992348 -0.275087 18.1976 
-1.07439 -0.288138 19.1472 
-1.15903 -0.298591 20.1108 
-1.28043 -0.306524 21.0923 
-1.36944 -0.315604 22.0667 
-1.44867 -0.323473 23.0406 
-1.5226 -0.336032 23.9925 
-1.62273 -0.339917 25.0143 
-1.69656 -0.351998 25.9862 
-1.75386 -0.375454 26.9407 
-1.81736 -0.390451 27.9212 
-1.88916 -0.410696 28.9094 
-1.92688 -0.445749 29.8758 
-1.97433 -0.467483 30.8473 
-2.05601 -0.495048 31.8474 
-2.13946 -0.51596 32.843 
-2.24334 -0.558044 33.8348 
-2.32085 -0.598738 34.8519 
-2.40577 -0.629672 35.8391 
-2.76543 -0.682242 36.7576 
-2.82193 -0.710538 37.7381 
-2.88685 -0.746425 38.7348 
-2.944 -0.780565 39.7099 
-3.014 -0.815477 40.7068 
-3.07556 -0.843375 41.7149 
-3.13071 -0.871929 42.6985 
-3.18016 -0.88639 43.7032 
-3.25085 -0.928224 44.6886 
-3.30701 -0.938625 45.6875 
-3.35634 -0.957574 46.656 
-3.41678 -0.978065 47.6355 
-3.46776 -0.99986 48.6143 
-3.52925 -1.02136 49.6079 
-3.59712 -1.03527 50.6055 
-3.64551 -1.05812 51.5653 
-3.69472 -1.078 52.5288 
-3.75042 -1.08904 53.5045 
-3.8031 -1.09796 54.4603 
-3.85797 -1.12169 55.4042 
-3.90455 -1.14353 56.3408 
-3.97354 -1.15602 57.3066 
-4.0232 -1.17145 58.2381 
-4.06193 -1.19672 59.1358 
-4.11819 -1.21427 60.0539 
-4.19142 -1.24429 60.9753 
-4.25575 -1.27201 61.8732 
-4.33527 -1.30202 62.7701 
-4.4246 -1.33188 63.6626 
-4.51064 -1.37663 64.5195 
-4.56789 -1.39793 65.359 
-4.62585 -1.4104 66.1832 
-4.6773 -1.42264 66.9942 
-4.73637 -1.4303 67.7976 
-4.7906 -1.43794 68.593 
-4.85614 -1.4456 69.378 
-4.9182 -1.45312 70.1368 
-4.98181 -1.46264 70.87 
-5.03476 -1.47113 71.5834 
-5.09223 -1.47483 72.286 
-5.17844 -1.49794 72.9566 
-5.23901 -1.5053 73.6192 
-5.30353 -1.51127 74.2609 
-5.35077 -1.52188 74.8759 
-5.38835 -1.52798 75.4732 
-5.43401 -1.5362 76.0619 
-5.48517 -1.54113 76.6319 
-5.5179 -1.54106 77.1917 
-5.54536 -1.54667 77.7418 
-5.55964 -1.55629 78.2706 
-5.57527 -1.56229 78.7835 
-5.58727 -1.56936 79.2878 
-5.58877 -1.58086 79.7829 
-5.5733 -1.5949 80.264 
-5.53366 -1.60695 80.732 
-5.47813 -1.62147 81.1913 
-5.40668 -1.63524 81.6408 
-5.31133 -1.65313 82.0844 
